country,sector,year,gva,hours,capital
PT,J,2009,5984.7,142854,12255.1
PT,J,2010,5646.8,145149,12552.4
PT,J,2011,5629.3,146853,12459.4
PT,J,2012,5374.5,146774,12339.7
PT,J,2013,5197.8,150582,12267.6
PT,J,2014,5160.8,154637,12451.4
PT,J,2015,5317.1,165765,12778.6
PT,J,2016,5660.3,172622,12861.1
PT,J,2017,5946.9,185229,13372.5
PT,J,2018,6375.7,202171,13861.7
PT,J,2019,7140.6,216444,14299.4
PT,J,2020,7782.4,227606,14641.4
PT,J,2021,8499.8,252054,15752.2
PT,J,2022,10019.8,285264,17587.3
PT,J,2023,11230.9,318429,18722.1
AT,K,2000,10450.7,211383,16574.4
AT,K,2001,10064.8,210203,17011.4
AT,K,2002,10252.6,211427,17325.5
AT,K,2003,10204.9,211158,17599.2
AT,K,2004,10536.6,208789,18081.8
AT,K,2005,11017.5,212518,18616.7
AT,K,2006,11986.0,217683,19150.5
AT,K,2007,13143.4,218349,19693.4
AT,K,2008,13344.1,224978,20007.9
AT,K,2009,11957.3,222912,20086.4
AT,K,2010,12014.4,225178,20313.4
AT,K,2011,12933.4,226089,21277.4
AT,K,2012,12301.8,220847,21728.8
AT,K,2013,12861.4,218293,22089.5
AT,K,2014,12969.1,212054,22650.1
AT,K,2015,13499.8,206600,23371.0
AT,K,2016,13242.6,212080,23563.6
AT,K,2017,13764.6,199925,24086.3
AT,K,2018,14217.4,197413,25030.8
AT,K,2019,14836.8,203981,26467.9
AT,K,2020,14659.1,198249,28101.5
AT,K,2021,16731.9,201049,30663.7
AT,K,2022,18202.0,195884,33713.6
AT,K,2023,21769.3,194021,36181.3
DE,K,2000,81120.0,2032194,136364.0
DE,K,2001,83222.0,2026837,135304.0
DE,K,2002,90726.0,2019540,132919.0
DE,K,2003,101168.0,1981440,129365.0
DE,K,2004,114215.0,1961179,130255.0
DE,K,2005,112020.0,1941929,129424.0
DE,K,2006,111765.0,1964313,126551.0
DE,K,2007,105857.0,1915059,127604.0
DE,K,2008,98179.0,1881058,128803.0
DE,K,2009,110761.0,1852012,129388.0
DE,K,2010,115367.0,1850520,131812.0
DE,K,2011,118868.0,1826257,136865.0
DE,K,2012,121913.0,1800487,140959.0
DE,K,2013,119300.0,1789568,145068.0
DE,K,2014,120155.0,1777723,149113.0
DE,K,2015,124832.0,1771963,153615.0
DE,K,2016,122325.0,1741613,154351.0
DE,K,2017,121140.0,1682489,160683.0
DE,K,2018,120446.0,1625658,167490.0
DE,K,2019,125949.0,1603107,174053.0
DE,K,2020,128334.0,1559777,180132.0
DE,K,2021,138836.0,1592568,195362.0
DE,K,2022,135040.0,1556795,223894.0
DE,K,2023,149169.0,1559041,238900.0
ES,K,2000,25383.0,620645,38368.0
ES,K,2001,29787.0,617839,40505.0
ES,K,2002,31761.0,628744,41629.0
ES,K,2003,32816.0,629359,44035.0
ES,K,2004,35212.0,632755,47567.0
ES,K,2005,37445.0,641538,50355.0
ES,K,2006,41527.0,666451,55317.0
ES,K,2007,47932.0,686572,55513.0
ES,K,2008,52201.0,701955,58788.0
ES,K,2009,55356.0,685223,62859.0
ES,K,2010,41244.0,669106,64118.0
ES,K,2011,38944.0,651956,66364.0
ES,K,2012,40135.0,635156,57305.0
ES,K,2013,33670.0,607274,54171.0
ES,K,2014,36682.0,595672,54435.0
ES,K,2015,37138.0,582200,56145.0
ES,K,2016,39036.0,592569,57668.0
ES,K,2017,40551.0,586494,57652.0
ES,K,2018,44539.0,586525,55503.0
ES,K,2019,43851.0,605510,53174.0
ES,K,2020,45965.0,603287,55184.0
ES,K,2021,46505.0,614290,56461.0
ES,K,2022,52948.0,582298,60168.0
ES,K,2023,73730.0,592878,60893.0
NL,K,2000,29670.0,433340,46929.0
NL,K,2001,32053.0,431913,50773.0
