country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
ES,A,2021,34201.0,1515257,76298.0,0.060517871298698046,0.027083541790597465,3054.6267000000003,8.931395865617965
ES,A,2022,32603.0,1478600,79418.0,0.057874112154178405,-0.04368559382187853,3343.32536,10.254655583841977
ES,A,2023,39035.0,1447339,81106.0,0.06980469306442617,0.20614710906431433,3547.22618,9.087296477520175
ES,C,2014,114259.0,3218035,248938.0,0.08262177344245542,0.03715321746626654,146753.26824,128.4391323571885
ES,C,2015,119732.0,3308834,252251.0,0.08461028242985899,0.02406761443808203,154086.56293000001,128.69288321417832
ES,C,2016,122996.0,3363363,262560.0,0.0848412687459036,0.0027300028957601974,159060.56856,129.32174099970732
ES,C,2017,130043.0,3536794,274815.0,0.08543485644292222,0.006996450027125123,165631.66331,127.36684274432304
ES,C,2018,130788.0,3593589,291195.0,0.08340328867782616,-0.023779144130163243,171719.10187,131.29576250879288
ES,C,2019,134106.0,3670035,306037.0,0.08294949990018181,-0.005440897893094654,180003.38088999997,134.22470351065573
ES,C,2020,122556.0,3346808,324181.0,0.07911740768929475,-0.04619789408614228,159389.1027,130.05409992166847
ES,C,2021,139066.0,3452213,358187.0,0.08508232352151571,0.07539321631525175,184841.19316999998,132.9161643895704
ES,C,2022,151730.0,3576306,382725.0,0.08869876512464607,0.04250520499967103,232053.85086,152.93867452712055
ES,C,2023,164020.0,3646205,399370.0,0.09332744744344058,0.05218429267070346,227982.60377000002,138.99683195342033
ES,F,2014,55390.0,1922467,374865.0,0.049415954847479245,0.004724938298795278,869.12936,1.5691087922007585
ES,F,2015,58924.0,2085974,375963.0,0.049723006316861676,0.0062136099632221775,1227.51829,2.083222948204467
ES,F,2016,61744.0,2148823,384826.0,0.050685423045457215,0.01935556193972876,1133.37349,1.8356010138636951
ES,F,2017,64233.0,2227616,393065.0,0.051113067151224434,0.00843722080377396,1203.51834,1.873676054364579
ES,F,2018,67144.0,2388804,401525.0,0.05062920504489149,-0.00946650501135804,1245.90009,1.855564294650304
ES,F,2019,73774.0,2590657,409598.0,0.05234082987150808,0.033807065015122095,1291.4950800000001,1.7506100794317783
ES,F,2020,63700.0,2258195,419326.0,0.04916739232937677,-0.060630248888330684,1050.64395,1.6493625588697016
ES,F,2021,65544.0,2422768,447480.0,0.047237697294220386,-0.039247455350676086,1302.50442,1.987221439033321
ES,F,2022,73065.0,2550779,473558.0,0.049930445606386153,0.05700422472742406,1391.45724,1.9044101005953602
